Q15714	GO:0043065 GO:0043066
O43251	GO:0042127 GO:0000381
Q9NWB1	GO:0000381
Q92793	GO:0048511 GO:0016032
P53350	GO:0051439 GO:0051437 GO:0007049 GO:0043066 GO:0000278 GO:0031145 GO:0051726 GO:0016567 GO:0007091
P25054	GO:0030178 GO:0043065 GO:0043066 GO:0090090 GO:0008285 GO:0006915 GO:0006974 GO:0051726 GO:0016055 GO:0007091
P62993	GO:0016032
P25788	GO:0051439 GO:0051437 GO:0043066 GO:0090090 GO:0000278 GO:0006915 GO:0031145 GO:0016032
Q13627	GO:0000381 GO:0007623 GO:0000278 GO:0043518
Q92845	GO:0043066 GO:0008285
Q9BRK4	GO:0030178 GO:0007049 GO:0090090 GO:0008285 GO:0016055
P68400	GO:0007049 GO:0048511 GO:0000278 GO:0006915 GO:0016055
Q9NR09	GO:0042127 GO:0007049 GO:0043066 GO:0006915 GO:0016567
Q9BQ83	GO:0006974
O14641	GO:0090090 GO:0016055
Q5XUX0	GO:0007049 GO:0006974 GO:0016567
Q16531	GO:0070914 GO:0043066 GO:0006974 GO:0016055 GO:0016567 GO:0016032
P05412	GO:0042127 GO:0043065 GO:0043066 GO:0008285 GO:0007623 GO:0051726
P63244	GO:0030178 GO:0007049 GO:0043065 GO:0048511 GO:0006915 GO:0051726 GO:0016032
Q13616	GO:0051439 GO:0051437 GO:0008285 GO:0007623 GO:0000278 GO:0006915 GO:0031145 GO:0016567 GO:0016032
Q96EB6	GO:0042127 GO:0070914 GO:0043065 GO:0048511 GO:0043066 GO:0007623 GO:0006915 GO:0006974 GO:0043518 GO:0016567 GO:0016032
P63167	GO:0000278 GO:0006915 GO:0016032
